,threshold,N,n,errors,p,k,type,g
0,-0.005,100,5,1,0.01,1,train,1
1,-0.005,100,5,0,0.01,0,train,1
2,-0.005,100,5,0,0.01,0,train,1
3,-0.005,100,5,0,0.01,0,train,1
4,-0.005,100,5,1,0.01,1,train,1
5,-0.005,100,5,0,0.01,0,test,1
6,-0.005,100,5,1,0.01,17,test,1
7,-0.005,100,5,0,0.01,0,test,1
8,-0.005,100,5,1,0.01,1,test,1
9,-0.005,100,10,1,0.01,1,train,1
10,-0.005,100,10,0,0.01,0,train,1
11,-0.005,100,10,0,0.01,0,train,1
12,-0.005,100,10,0,0.01,0,train,1
13,-0.005,100,10,1,0.01,1,train,1
14,-0.005,100,10,0,0.01,0,train,1
15,-0.005,100,10,0,0.01,0,train,1
16,-0.005,100,10,0,0.01,0,train,1
17,-0.005,100,10,0,0.01,0,train,1
18,-0.005,100,10,1,0.01,1,train,1
19,-0.005,100,10,1,0.01,1,test,1
20,-0.005,100,10,0,0.01,0,test,1
21,-0.005,100,10,1,0.01,34,test,1
22,-0.005,100,10,0,0.01,0,test,1
23,-0.005,100,10,1,0.01,1,test,1
24,-0.005,100,10,1,0.01,1,test,1
25,-0.005,100,10,0,0.01,0,test,1
26,-0.005,100,10,1,0.01,1,test,1
27,-0.005,100,10,0,0.01,0,test,1
28,-0.005,100,15,1,0.01,1,train,1
29,-0.005,100,15,1,0.01,39,train,1
30,-0.005,100,15,0,0.01,0,train,1
31,-0.005,100,15,0,0.01,0,train,1
32,-0.005,100,15,1,0.01,1,train,1
33,-0.005,100,15,0,0.01,0,train,1
34,-0.005,100,15,0,0.01,0,train,1
35,-0.005,100,15,0,0.01,0,train,1
36,-0.005,100,15,0,0.01,0,train,1
37,-0.005,100,15,1,0.01,1,train,1
38,-0.005,100,15,1,0.01,1,train,1
39,-0.005,100,15,1,0.01,1,train,1
40,-0.005,100,15,0,0.01,0,train,1
41,-0.005,100,15,1,0.01,51,train,1
42,-0.005,100,15,0,0.01,0,train,1
43,-0.005,100,15,1,0.01,1,test,1
44,-0.005,100,15,0,0.01,0,test,1
45,-0.005,100,15,1,0.01,1,test,1
46,-0.005,100,15,0,0.01,0,test,1
47,-0.005,100,15,1,0.01,22,test,1
48,-0.005,100,15,0,0.01,0,test,1
49,-0.005,100,15,0,0.01,0,test,1
50,-0.005,100,15,1,0.01,13,test,1
51,-0.005,100,15,0,0.01,0,test,1
52,-0.005,100,15,0,0.01,0,test,1
53,-0.005,100,15,1,0.01,25,test,1
54,-0.005,100,15,1,0.01,1,test,1
55,-0.005,100,15,0,0.01,0,test,1
56,-0.005,100,15,1,0.01,41,test,1
57,-0.005,100,50,1,0.01,1,train,1
58,-0.005,100,50,1,0.01,39,train,1
59,-0.005,100,50,0,0.01,0,train,1
60,-0.005,100,50,0,0.01,0,train,1
61,-0.005,100,50,1,0.01,1,train,1
62,-0.005,100,50,0,0.01,0,train,1
63,-0.005,100,50,8,0.01,647,train,1
64,-0.005,100,50,0,0.01,0,train,1
65,-0.005,100,50,0,0.01,0,train,1
66,-0.005,100,50,1,0.01,1,train,1
67,-0.005,100,50,1,0.01,1,train,1
68,-0.005,100,50,1,0.01,1,train,1
69,-0.005,100,50,0,0.01,0,train,1
70,-0.005,100,50,1,0.01,51,train,1
71,-0.005,100,50,0,0.01,0,train,1
72,-0.005,100,50,1,0.01,1,train,1
73,-0.005,100,50,1,0.01,1,train,1
74,-0.005,100,50,0,0.01,0,train,1
75,-0.005,100,50,1,0.01,1,train,1
76,-0.005,100,50,0,0.01,0,train,1
77,-0.005,100,50,7,0.01,361,train,1
78,-0.005,100,50,0,0.01,0,train,1
79,-0.005,100,50,0,0.01,0,train,1
80,-0.005,100,50,2,0.01,137,train,1
81,-0.005,100,50,0,0.01,0,train,1
82,-0.005,100,50,0,0.01,0,train,1
83,-0.005,100,50,0,0.01,0,train,1
84,-0.005,100,50,1,0.01,1,train,1
85,-0.005,100,50,0,0.01,0,train,1
86,-0.005,100,50,7,0.01,328,train,1
87,-0.005,100,50,0,0.01,0,train,1
88,-0.005,100,50,1,0.01,1,train,1
89,-0.005,100,50,1,0.01,1,train,1
90,-0.005,100,50,7,0.01,361,train,1
