,threshold,N,n,TPR,FPR,p
0,-0.05,100,5,1.0,1.0,0.01
1,-0.05,100,5,1.0,1.0,0.01
2,-0.05,100,5,1.0,1.0,0.01
3,-0.05,100,5,1.0,1.0,0.01
4,-0.05,100,5,1.0,1.0,0.01
5,-0.05,100,5,1.0,1.0,0.01
6,-0.05,100,5,1.0,1.0,0.01
7,-0.05,100,5,1.0,1.0,0.01
8,-0.05,100,5,1.0,1.0,0.01
9,-0.05,100,5,1.0,1.0,0.01
10,-0.05,100,10,1.0,1.0,0.01
11,-0.05,100,10,1.0,1.0,0.01
12,-0.05,100,10,1.0,1.0,0.01
13,-0.05,100,10,1.0,1.0,0.01
14,-0.05,100,10,1.0,1.0,0.01
15,-0.05,100,10,1.0,1.0,0.01
16,-0.05,100,10,1.0,1.0,0.01
17,-0.05,100,10,1.0,1.0,0.01
18,-0.05,100,10,1.0,1.0,0.01
19,-0.05,100,10,1.0,1.0,0.01
20,-0.05,100,10,1.0,1.0,0.01
21,-0.05,100,10,1.0,1.0,0.01
22,-0.05,100,10,1.0,1.0,0.01
23,-0.05,100,10,1.0,1.0,0.01
24,-0.05,100,10,1.0,1.0,0.01
25,-0.05,100,10,1.0,1.0,0.01
26,-0.05,100,10,1.0,1.0,0.01
27,-0.05,100,10,1.0,1.0,0.01
28,-0.05,100,10,1.0,1.0,0.01
29,-0.05,100,10,1.0,1.0,0.01
30,-0.05,100,15,1.0,1.0,0.01
31,-0.05,100,15,1.0,1.0,0.01
32,-0.05,100,15,1.0,1.0,0.01
33,-0.05,100,15,1.0,1.0,0.01
34,-0.05,100,15,1.0,1.0,0.01
35,-0.05,100,15,1.0,1.0,0.01
36,-0.05,100,15,1.0,1.0,0.01
37,-0.05,100,15,1.0,1.0,0.01
38,-0.05,100,15,1.0,1.0,0.01
39,-0.05,100,15,1.0,1.0,0.01
40,-0.05,100,15,1.0,1.0,0.01
41,-0.05,100,15,1.0,1.0,0.01
42,-0.05,100,15,1.0,1.0,0.01
43,-0.05,100,15,1.0,1.0,0.01
44,-0.05,100,15,1.0,1.0,0.01
45,-0.05,100,15,1.0,1.0,0.01
46,-0.05,100,15,1.0,1.0,0.01
47,-0.05,100,15,1.0,1.0,0.01
48,-0.05,100,15,1.0,1.0,0.01
49,-0.05,100,15,1.0,1.0,0.01
50,-0.05,100,15,1.0,1.0,0.01
51,-0.05,100,15,1.0,1.0,0.01
52,-0.05,100,15,1.0,1.0,0.01
53,-0.05,100,15,1.0,1.0,0.01
54,-0.05,100,15,1.0,1.0,0.01
55,-0.05,100,15,1.0,1.0,0.01
56,-0.05,100,15,1.0,1.0,0.01
57,-0.05,100,15,1.0,1.0,0.01
58,-0.05,100,15,1.0,1.0,0.01
59,-0.05,100,15,1.0,1.0,0.01
60,-0.95,100,5,1.0,1.0,0.1
61,-0.95,100,5,1.0,1.0,0.1
62,-0.95,100,5,1.0,1.0,0.1
63,-0.95,100,5,1.0,1.0,0.1
64,-0.95,100,5,1.0,1.0,0.1
65,-0.95,100,5,1.0,1.0,0.1
66,-0.95,100,5,1.0,1.0,0.1
67,-0.95,100,5,1.0,1.0,0.1
68,-0.95,100,5,1.0,1.0,0.1
69,-0.95,100,5,1.0,1.0,0.1
70,-0.95,100,10,1.0,1.0,0.1
71,-0.95,100,10,1.0,1.0,0.1
72,-0.95,100,10,1.0,1.0,0.1
73,-0.95,100,10,1.0,1.0,0.1
74,-0.95,100,10,1.0,1.0,0.1
75,-0.95,100,10,1.0,1.0,0.1
76,-0.95,100,10,1.0,1.0,0.1
77,-0.95,100,10,1.0,1.0,0.1
78,-0.95,100,10,1.0,1.0,0.1
79,-0.95,100,10,1.0,1.0,0.1
80,-0.95,100,10,1.0,1.0,0.1
81,-0.95,100,10,1.0,1.0,0.1
82,-0.95,100,10,1.0,1.0,0.1
83,-0.95,100,10,1.0,1.0,0.1
84,-0.95,100,10,1.0,1.0,0.1
85,-0.95,100,10,1.0,1.0,0.1
86,-0.95,100,10,1.0,1.0,0.1
87,-0.95,100,10,1.0,1.0,0.1
88,-0.95,100,10,1.0,1.0,0.1
89,-0.95,100,10,1.0,1.0,0.1
90,-0.95,100,15,1.0,1.0,0.1
91,-0.95,100,15,1.0,1.0,0.1
92,-0.95,100,15,1.0,1.0,0.1
93,-0.95,100,15,1.0,1.0,0.1
94,-0.95,100,15,1.0,1.0,0.1
