,threshold,N,n,TPR,FPR,p
0,1.0,100,5,0.0,0.0,0.01
1,1.0,100,5,0.0,0.0,0.01
2,1.0,100,5,0.0,0.0,0.01
3,1.0,100,5,0.0,0.0,0.01
4,1.0,100,5,0.0,0.0,0.01
5,1.0,100,5,0.0,0.0,0.01
6,1.0,100,5,0.0,0.0,0.01
7,1.0,100,5,0.0,0.0,0.01
8,1.0,100,5,0.0,0.0,0.01
9,1.0,100,5,0.0,0.0,0.01
10,1.0,100,10,0.0,0.0,0.01
11,1.0,100,10,0.0,0.0,0.01
12,1.0,100,10,0.0,0.0,0.01
13,1.0,100,10,0.0,0.0,0.01
14,1.0,100,10,0.0,0.0,0.01
15,1.0,100,10,0.0,0.0,0.01
16,1.0,100,10,0.0,0.0,0.01
17,1.0,100,10,0.0,0.0,0.01
18,1.0,100,10,0.0,0.0,0.01
19,1.0,100,10,0.0,0.0,0.01
20,1.0,100,10,0.0,0.0,0.01
21,1.0,100,10,0.0,0.0,0.01
22,1.0,100,10,0.0,0.0,0.01
23,1.0,100,10,0.0,0.0,0.01
24,1.0,100,10,0.0,0.0,0.01
25,1.0,100,10,0.0,0.0,0.01
26,1.0,100,10,0.0,0.0,0.01
27,1.0,100,10,0.0,0.0,0.01
28,1.0,100,10,0.0,0.0,0.01
29,1.0,100,10,0.0,0.0,0.01
30,1.0,100,15,0.0,0.0,0.01
31,1.0,100,15,0.0,0.0,0.01
32,1.0,100,15,0.0,0.0,0.01
33,1.0,100,15,0.0,0.0,0.01
34,1.0,100,15,0.0,0.0,0.01
35,1.0,100,15,0.0,0.0,0.01
36,1.0,100,15,0.0,0.0,0.01
37,1.0,100,15,0.0,0.0,0.01
38,1.0,100,15,0.0,0.0,0.01
39,1.0,100,15,0.0,0.0,0.01
40,1.0,100,15,0.0,0.0,0.01
41,1.0,100,15,0.0,0.0,0.01
42,1.0,100,15,0.0,0.0,0.01
43,1.0,100,15,0.0,0.0,0.01
44,1.0,100,15,0.0,0.0,0.01
45,1.0,100,15,0.0,0.0,0.01
46,1.0,100,15,0.0,0.0,0.01
47,1.0,100,15,0.0,0.0,0.01
48,1.0,100,15,0.0,0.0,0.01
49,1.0,100,15,0.0,0.0,0.01
50,1.0,100,15,0.0,0.0,0.01
51,1.0,100,15,0.0,0.0,0.01
52,1.0,100,15,0.0,0.0,0.01
53,1.0,100,15,0.0,0.0,0.01
54,1.0,100,15,0.0,0.0,0.01
55,1.0,100,15,0.0,0.0,0.01
56,1.0,100,15,0.0,0.0,0.01
57,1.0,100,15,0.0,0.0,0.01
58,1.0,100,15,0.0,0.0,0.01
59,1.0,100,15,0.0,0.0,0.01
60,10.0,100,5,0.0,0.0,0.1
61,10.0,100,5,0.0,0.0,0.1
62,10.0,100,5,0.0,0.0,0.1
63,10.0,100,5,0.0,0.0,0.1
64,10.0,100,5,0.0,0.0,0.1
65,10.0,100,5,0.0,0.0,0.1
66,10.0,100,5,0.0,0.0,0.1
67,10.0,100,5,0.0,0.0,0.1
68,10.0,100,5,0.0,0.0,0.1
69,10.0,100,5,0.0,0.0,0.1
70,10.0,100,10,0.6,0.45,0.1
71,10.0,100,10,0.6,0.45,0.1
72,10.0,100,10,0.6,0.45,0.1
73,10.0,100,10,0.6,0.45,0.1
74,10.0,100,10,0.6,0.45,0.1
75,10.0,100,10,0.6,0.45,0.1
76,10.0,100,10,0.6,0.45,0.1
77,10.0,100,10,0.6,0.45,0.1
78,10.0,100,10,0.6,0.45,0.1
79,10.0,100,10,0.6,0.45,0.1
80,10.0,100,10,0.6,0.45,0.1
81,10.0,100,10,0.6,0.45,0.1
82,10.0,100,10,0.6,0.45,0.1
83,10.0,100,10,0.6,0.45,0.1
84,10.0,100,10,0.6,0.45,0.1
85,10.0,100,10,0.6,0.45,0.1
86,10.0,100,10,0.6,0.45,0.1
87,10.0,100,10,0.6,0.45,0.1
88,10.0,100,10,0.6,0.45,0.1
89,10.0,100,10,0.6,0.45,0.1
90,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
91,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
92,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
93,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
94,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
95,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
96,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
97,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
98,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
99,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
100,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
101,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
102,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
103,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
104,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
105,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
106,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
107,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
108,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
109,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
110,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
111,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
112,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
113,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
114,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
115,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
116,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
117,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
118,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
119,10.0,100,15,0.9333333333333333,0.7666666666666667,0.1
120,50.0,100,5,0.0,0.0,0.5
121,50.0,100,5,0.0,0.0,0.5
122,50.0,100,5,0.0,0.0,0.5
123,50.0,100,5,0.0,0.0,0.5
124,50.0,100,5,0.0,0.0,0.5
125,50.0,100,5,0.0,0.0,0.5
126,50.0,100,5,0.0,0.0,0.5
127,50.0,100,5,0.0,0.0,0.5
128,50.0,100,5,0.0,0.0,0.5
129,50.0,100,5,0.0,0.0,0.5
130,50.0,100,10,0.0,0.0,0.5
131,50.0,100,10,0.0,0.0,0.5
132,50.0,100,10,0.0,0.0,0.5
133,50.0,100,10,0.0,0.0,0.5
134,50.0,100,10,0.0,0.0,0.5
135,50.0,100,10,0.0,0.0,0.5
136,50.0,100,10,0.0,0.0,0.5
137,50.0,100,10,0.0,0.0,0.5
138,50.0,100,10,0.0,0.0,0.5
139,50.0,100,10,0.0,0.0,0.5
140,50.0,100,10,0.0,0.0,0.5
141,50.0,100,10,0.0,0.0,0.5
142,50.0,100,10,0.0,0.0,0.5
143,50.0,100,10,0.0,0.0,0.5
144,50.0,100,10,0.0,0.0,0.5
145,50.0,100,10,0.0,0.0,0.5
146,50.0,100,10,0.0,0.0,0.5
147,50.0,100,10,0.0,0.0,0.5
148,50.0,100,10,0.0,0.0,0.5
149,50.0,100,10,0.0,0.0,0.5
150,50.0,100,15,0.0,0.0,0.5
151,50.0,100,15,0.0,0.0,0.5
152,50.0,100,15,0.0,0.0,0.5
153,50.0,100,15,0.0,0.0,0.5
154,50.0,100,15,0.0,0.0,0.5
155,50.0,100,15,0.0,0.0,0.5
156,50.0,100,15,0.0,0.0,0.5
157,50.0,100,15,0.0,0.0,0.5
158,50.0,100,15,0.0,0.0,0.5
159,50.0,100,15,0.0,0.0,0.5
160,50.0,100,15,0.0,0.0,0.5
161,50.0,100,15,0.0,0.0,0.5
162,50.0,100,15,0.0,0.0,0.5
163,50.0,100,15,0.0,0.0,0.5
164,50.0,100,15,0.0,0.0,0.5
165,50.0,100,15,0.0,0.0,0.5
166,50.0,100,15,0.0,0.0,0.5
167,50.0,100,15,0.0,0.0,0.5
168,50.0,100,15,0.0,0.0,0.5
169,50.0,100,15,0.0,0.0,0.5
170,50.0,100,15,0.0,0.0,0.5
171,50.0,100,15,0.0,0.0,0.5
172,50.0,100,15,0.0,0.0,0.5
173,50.0,100,15,0.0,0.0,0.5
174,50.0,100,15,0.0,0.0,0.5
175,50.0,100,15,0.0,0.0,0.5
176,50.0,100,15,0.0,0.0,0.5
177,50.0,100,15,0.0,0.0,0.5
178,50.0,100,15,0.0,0.0,0.5
179,50.0,100,15,0.0,0.0,0.5
