,threshold,N,n,errors,p
0,-9.950000000000001,1000,100,384,0.1
1,-9.950000000000001,1000,100,351,0.1
2,-9.950000000000001,1000,100,386,0.1
3,-9.950000000000001,1000,100,343,0.1
4,-9.950000000000001,1000,100,358,0.1
5,-9.950000000000001,1000,100,288,0.1
6,-9.950000000000001,1000,100,256,0.1
7,-9.950000000000001,1000,100,268,0.1
8,-9.950000000000001,1000,100,295,0.1
9,-9.950000000000001,1000,100,253,0.1
10,-9.950000000000001,1000,100,353,0.1
11,-9.950000000000001,1000,100,325,0.1
12,-9.950000000000001,1000,100,365,0.1
13,-9.950000000000001,1000,100,358,0.1
14,-9.950000000000001,1000,100,277,0.1
15,-9.950000000000001,1000,100,315,0.1
16,-9.950000000000001,1000,100,294,0.1
17,-9.950000000000001,1000,100,305,0.1
18,-9.950000000000001,1000,100,343,0.1
19,-9.950000000000001,1000,100,319,0.1
20,-9.950000000000001,1000,100,271,0.1
21,-9.950000000000001,1000,100,284,0.1
22,-9.950000000000001,1000,100,325,0.1
23,-9.950000000000001,1000,100,323,0.1
24,-9.950000000000001,1000,100,289,0.1
25,-9.950000000000001,1000,100,370,0.1
26,-9.950000000000001,1000,100,371,0.1
27,-9.950000000000001,1000,100,267,0.1
28,-9.950000000000001,1000,100,317,0.1
29,-9.950000000000001,1000,100,244,0.1
30,-9.950000000000001,1000,100,377,0.1
31,-9.950000000000001,1000,100,372,0.1
32,-9.950000000000001,1000,100,311,0.1
33,-9.950000000000001,1000,100,295,0.1
34,-9.950000000000001,1000,100,396,0.1
35,-9.950000000000001,1000,100,365,0.1
36,-9.950000000000001,1000,100,334,0.1
37,-9.950000000000001,1000,100,376,0.1
38,-9.950000000000001,1000,100,368,0.1
39,-9.950000000000001,1000,100,367,0.1
40,-9.950000000000001,1000,100,292,0.1
41,-9.950000000000001,1000,100,366,0.1
42,-9.950000000000001,1000,100,246,0.1
43,-9.950000000000001,1000,100,338,0.1
44,-9.950000000000001,1000,100,376,0.1
45,-9.950000000000001,1000,100,331,0.1
46,-9.950000000000001,1000,100,323,0.1
47,-9.950000000000001,1000,100,334,0.1
48,-9.950000000000001,1000,100,345,0.1
49,-9.950000000000001,1000,100,346,0.1
50,-9.950000000000001,1000,100,324,0.1
51,-9.950000000000001,1000,100,271,0.1
52,-9.950000000000001,1000,100,308,0.1
53,-9.950000000000001,1000,100,321,0.1
54,-9.950000000000001,1000,100,324,0.1
55,-9.950000000000001,1000,100,284,0.1
56,-9.950000000000001,1000,100,320,0.1
57,-9.950000000000001,1000,100,344,0.1
58,-9.950000000000001,1000,100,377,0.1
59,-9.950000000000001,1000,100,244,0.1
60,-9.950000000000001,1000,100,378,0.1
61,-9.950000000000001,1000,100,323,0.1
62,-9.950000000000001,1000,100,352,0.1
63,-9.950000000000001,1000,100,300,0.1
64,-9.950000000000001,1000,100,338,0.1
65,-9.950000000000001,1000,100,388,0.1
66,-9.950000000000001,1000,100,243,0.1
67,-9.950000000000001,1000,100,299,0.1
68,-9.950000000000001,1000,100,349,0.1
69,-9.950000000000001,1000,100,283,0.1
70,-9.950000000000001,1000,100,344,0.1
71,-9.950000000000001,1000,100,326,0.1
72,-9.950000000000001,1000,100,356,0.1
73,-9.950000000000001,1000,100,336,0.1
74,-9.950000000000001,1000,100,346,0.1
75,-9.950000000000001,1000,100,267,0.1
76,-9.950000000000001,1000,100,282,0.1
77,-9.950000000000001,1000,100,310,0.1
78,-9.950000000000001,1000,100,275,0.1
79,-9.950000000000001,1000,100,336,0.1
80,-9.950000000000001,1000,100,288,0.1
81,-9.950000000000001,1000,100,308,0.1
82,-9.950000000000001,1000,100,358,0.1
83,-9.950000000000001,1000,100,375,0.1
84,-9.950000000000001,1000,100,304,0.1
85,-9.950000000000001,1000,100,346,0.1
86,-9.950000000000001,1000,100,319,0.1
87,-9.950000000000001,1000,100,334,0.1
88,-9.950000000000001,1000,100,288,0.1
89,-9.950000000000001,1000,100,366,0.1
90,-9.950000000000001,1000,100,255,0.1
91,-9.950000000000001,1000,100,392,0.1
92,-9.950000000000001,1000,100,344,0.1
93,-9.950000000000001,1000,100,319,0.1
94,-9.950000000000001,1000,100,365,0.1
95,-9.950000000000001,1000,100,350,0.1
96,-9.950000000000001,1000,100,374,0.1
97,-9.950000000000001,1000,100,339,0.1
98,-9.950000000000001,1000,100,244,0.1
99,-9.950000000000001,1000,100,309,0.1
