,threshold,N,n,errors,p,k,type,g,U
0,-1.5,100,1,0,0.01,0,known,100,-1
1,-1.5,100,2,0,0.01,0,known,100,-1
2,-1.5,100,2,1,0.01,1,known,100,-1
3,-1.5,100,2,2,0.01,2,new,100,-1
4,-1.5,100,5,0,0.01,0,known,100,-1
5,-1.5,100,5,1,0.01,1,known,100,-1
6,-1.5,100,5,2,0.01,2,known,100,-1
7,-1.5,100,5,2,0.01,2,known,100,-1
8,-1.5,100,5,1,0.01,1,known,100,-1
9,-1.5,100,5,1,0.01,1,new,100,-1
10,-1.5,100,5,2,0.01,2,new,100,-1
11,-1.5,100,5,1,0.01,1,new,100,-1
12,-1.5,100,5,1,0.01,1,new,100,-1
13,-1.5,100,10,0,0.01,0,known,100,-1
14,-1.5,100,10,1,0.01,1,known,100,-1
15,-1.5,100,10,2,0.01,2,known,100,-1
16,-1.5,100,10,2,0.01,2,known,100,-1
17,-1.5,100,10,1,0.01,1,known,100,-1
18,-1.5,100,10,0,0.01,0,known,100,-1
19,-1.5,100,10,1,0.01,1,known,100,-1
20,-1.5,100,10,2,0.01,2,known,100,-1
21,-1.5,100,10,1,0.01,1,known,100,-1
22,-1.5,100,10,1,0.01,1,known,100,-1
23,-1.5,100,10,1,0.01,51,new,100,-1
24,-1.5,100,10,1,0.01,1,new,100,-1
25,-1.5,100,10,2,0.01,2,new,100,-1
26,-1.5,100,10,2,0.01,2,new,100,-1
27,-1.5,100,10,1,0.01,1,new,100,-1
28,-1.5,100,10,1,0.01,1,new,100,-1
29,-1.5,100,10,1,0.01,15,new,100,-1
30,-1.5,100,10,2,0.01,2,new,100,-1
31,-1.5,100,10,1,0.01,7,new,100,-1
32,-1.5,100,15,0,0.01,0,known,100,-1
33,-1.5,100,15,1,0.01,1,known,100,-1
34,-1.5,100,15,2,0.01,2,known,100,-1
35,-1.5,100,15,2,0.01,2,known,100,-1
36,-1.5,100,15,1,0.01,1,known,100,-1
37,-1.5,100,15,0,0.01,0,known,100,-1
38,-1.5,100,15,1,0.01,1,known,100,-1
39,-1.5,100,15,2,0.01,2,known,100,-1
40,-1.5,100,15,1,0.01,1,known,100,-1
41,-1.5,100,15,1,0.01,1,known,100,-1
42,-1.5,100,15,1,0.01,46,known,100,-1
43,-1.5,100,15,0,0.01,0,known,100,-1
44,-1.5,100,15,1,0.01,1,known,100,-1
45,-1.5,100,15,2,0.01,2,known,100,-1
46,-1.5,100,15,2,0.01,2,known,100,-1
47,-1.5,100,15,2,0.01,230,new,100,-1
48,-1.5,100,15,1,0.01,15,new,100,-1
49,-1.5,100,15,2,0.01,2,new,100,-1
50,-1.5,100,15,1,0.01,7,new,100,-1
51,-1.5,100,15,2,0.01,2,new,100,-1
52,-1.5,100,15,1,0.01,1,new,100,-1
53,-1.5,100,15,1,0.01,1,new,100,-1
54,-1.5,100,15,1,0.01,1,new,100,-1
55,-1.5,100,15,2,0.01,110,new,100,-1
56,-1.5,100,15,2,0.01,2,new,100,-1
57,-1.5,100,15,1,0.01,1,new,100,-1
58,-1.5,100,15,1,0.01,1,new,100,-1
59,-1.5,100,15,2,0.01,49,new,100,-1
60,-1.5,100,15,2,0.01,2,new,100,-1
61,-1.5,100,50,0,0.01,0,known,100,-1
62,-1.5,100,50,4,0.01,174,known,100,-1
63,-1.5,100,50,3,0.01,185,known,100,-1
64,-1.5,100,50,3,0.01,185,known,100,-1
65,-1.5,100,50,4,0.01,185,known,100,-1
66,-1.5,100,50,0,0.01,0,known,100,-1
