,sparsity,threshold,N,TPR,FPR
0,0.01,0.5,100,0.0,0.0
1,0.01,0.25,200,1.0,0.9966722129783694
2,0.1,-8.5,100,1.0,1.0
3,0.1,-8.75,200,1.0,1.0
4,0.5,-48.5,100,1.0,1.0
5,0.5,-48.75,200,1.0,1.0
6,0.01,499.5,100,0.0,0.0
7,0.01,499.25,200,0.0,0.0
8,0.1,490.5,100,0.0,0.0
9,0.1,490.25,200,0.9933333333333333,0.9816971713810316
10,0.5,450.5,100,0.95,0.9517470881863561
11,0.5,450.25,200,0.9916666666666667,0.9983361064891847
12,0.01,999.5,100,0.0,0.0
13,0.01,999.25,200,0.0,0.0
14,0.1,990.5,100,0.0,0.0
15,0.1,990.25,200,0.0,0.0
16,0.5,950.5,100,0.8466666666666667,0.8469217970049917
17,0.5,950.25,200,0.965,0.9683860232945092
