,threshold,N,n,TPR,FPR,p
0,-0.5,100,5,1.0,1.0,0.01
1,-0.5,100,5,1.0,1.0,0.01
2,-0.5,100,5,1.0,1.0,0.01
3,-0.5,100,5,1.0,1.0,0.01
4,-0.5,100,5,1.0,1.0,0.01
5,-0.5,100,5,1.0,1.0,0.01
6,-0.5,100,5,1.0,1.0,0.01
7,-0.5,100,5,1.0,1.0,0.01
8,-0.5,100,5,1.0,1.0,0.01
9,-0.5,100,5,1.0,1.0,0.01
10,-0.5,100,10,1.0,1.0,0.01
11,-0.5,100,10,1.0,1.0,0.01
12,-0.5,100,10,1.0,1.0,0.01
13,-0.5,100,10,1.0,1.0,0.01
14,-0.5,100,10,1.0,1.0,0.01
15,-0.5,100,10,1.0,1.0,0.01
16,-0.5,100,10,1.0,1.0,0.01
17,-0.5,100,10,1.0,1.0,0.01
18,-0.5,100,10,1.0,1.0,0.01
19,-0.5,100,10,1.0,1.0,0.01
20,-0.5,100,10,1.0,1.0,0.01
21,-0.5,100,10,1.0,1.0,0.01
22,-0.5,100,10,1.0,1.0,0.01
23,-0.5,100,10,1.0,1.0,0.01
24,-0.5,100,10,1.0,1.0,0.01
25,-0.5,100,10,1.0,1.0,0.01
26,-0.5,100,10,1.0,1.0,0.01
27,-0.5,100,10,1.0,1.0,0.01
28,-0.5,100,10,1.0,1.0,0.01
29,-0.5,100,10,1.0,1.0,0.01
30,-0.5,100,15,1.0,1.0,0.01
31,-0.5,100,15,1.0,1.0,0.01
32,-0.5,100,15,1.0,1.0,0.01
33,-0.5,100,15,1.0,1.0,0.01
34,-0.5,100,15,1.0,1.0,0.01
35,-0.5,100,15,1.0,1.0,0.01
36,-0.5,100,15,1.0,1.0,0.01
37,-0.5,100,15,1.0,1.0,0.01
38,-0.5,100,15,1.0,1.0,0.01
39,-0.5,100,15,1.0,1.0,0.01
40,-0.5,100,15,1.0,1.0,0.01
41,-0.5,100,15,1.0,1.0,0.01
42,-0.5,100,15,1.0,1.0,0.01
43,-0.5,100,15,1.0,1.0,0.01
44,-0.5,100,15,1.0,1.0,0.01
45,-0.5,100,15,1.0,1.0,0.01
46,-0.5,100,15,1.0,1.0,0.01
47,-0.5,100,15,1.0,1.0,0.01
48,-0.5,100,15,1.0,1.0,0.01
49,-0.5,100,15,1.0,1.0,0.01
50,-0.5,100,15,1.0,1.0,0.01
51,-0.5,100,15,1.0,1.0,0.01
52,-0.5,100,15,1.0,1.0,0.01
53,-0.5,100,15,1.0,1.0,0.01
54,-0.5,100,15,1.0,1.0,0.01
55,-0.5,100,15,1.0,1.0,0.01
56,-0.5,100,15,1.0,1.0,0.01
57,-0.5,100,15,1.0,1.0,0.01
58,-0.5,100,15,1.0,1.0,0.01
59,-0.5,100,15,1.0,1.0,0.01
60,-9.5,100,5,1.0,1.0,0.1
61,-9.5,100,5,1.0,1.0,0.1
62,-9.5,100,5,1.0,1.0,0.1
63,-9.5,100,5,1.0,1.0,0.1
64,-9.5,100,5,1.0,1.0,0.1
65,-9.5,100,5,1.0,1.0,0.1
66,-9.5,100,5,1.0,1.0,0.1
67,-9.5,100,5,1.0,1.0,0.1
68,-9.5,100,5,1.0,1.0,0.1
69,-9.5,100,5,1.0,1.0,0.1
70,-9.5,100,10,1.0,1.0,0.1
71,-9.5,100,10,1.0,1.0,0.1
72,-9.5,100,10,1.0,1.0,0.1
73,-9.5,100,10,1.0,1.0,0.1
74,-9.5,100,10,1.0,1.0,0.1
75,-9.5,100,10,1.0,1.0,0.1
76,-9.5,100,10,1.0,1.0,0.1
77,-9.5,100,10,1.0,1.0,0.1
78,-9.5,100,10,1.0,1.0,0.1
79,-9.5,100,10,1.0,1.0,0.1
80,-9.5,100,10,1.0,1.0,0.1
81,-9.5,100,10,1.0,1.0,0.1
82,-9.5,100,10,1.0,1.0,0.1
83,-9.5,100,10,1.0,1.0,0.1
84,-9.5,100,10,1.0,1.0,0.1
85,-9.5,100,10,1.0,1.0,0.1
